2022年备案项目基本情况表,,
,,投资方信息
序号,项目名称,单位名称
1,北京万生人和科技有限公司新生产基地项目,北京万生人和科技有限公司
2,电投工业互联网数据安全信息港,北京电投泰利数据科技发展有限公司
3,西工大北研院项目,西北工业大学
4,西工大北研院项目,西北工业大学
5,益生祥明科技产业园项目,北京造纸七厂有限责任公司
6,博睿ITOM产品及技术优化升级组合项目,博睿宏远（北京）科技有限责任公司
7,通州生物医药产业基地（一期）,北京珅诺基医药科技有限公司
8,环境保护专用设备研发,万众易暖（北京）生态科技有限公司
9,中药制剂生产线建设项目,中颐堂（北京）中医药有限公司
10,智能设备研发与组装项目,瑞达盛创（北京）科技有限公司
11,试剂盒生产项目,北京瑞正善达生物工程技术有限公司
12,绿色改造发展项目,蒙牛高科乳制品（北京）有限责任公司
13,博格华纳北京新工厂建设项目,北京潞阳精诚运营管理有限责任公司
14,湿疡气雾剂生产项目,北京海德润医药集团有限公司
15,确定性超高精度核心部件国产化智造项目,北京创思工贸有限公司
16,智能网联家居项目,北京黎明文仪控股集团有限公司
17,北京置换2条利乐枕250产线项目,蒙牛乳业（北京）有限责任公司
18,产线智能提升项目,蒙牛高科乳制品（北京）有限责任公司
19,数字信息化项目,蒙牛高科乳制品（北京）有限责任公司
20,数字化印刷技术改造项目,北京中科印刷有限公司
21,氢能前沿科技产业发展项目,北京天海氢能装备有限公司
22,经皮胃造瘘套装医疗器械生产项目,北京中科盛康科技有限公司
23,球囊型经皮胃造瘘管医疗器械生产项目,北京中科盛康科技有限公司
24,工业厂房及附属配套设施项目,北京共创富来节能环保科技有限公司
25,北京市安达亿防水工程有限责任公司防水技术推广信息化网络平台项目,北京市安达亿防水工程有限责任公司
26,年产15万台4缸发动机缸体智能化生产线项目,北京长源朗弘科技有限公司
27,国六汽车发动机年产四万台缸体项目,北京长源朗弘科技有限公司
28,博格华纳北京新工厂建设项目,北京潞阳精诚运营管理有限责任公司
29,标准化工业厂房建设项目,北京天裕盛丰电子商务科技有限公司
30,数据湖业务信息存储服务平台项目,北京分享时代科技股份有限公司
31,嵌入式控制系统国产化研发项目,北京亨达麦海科技发展有限公司
32,嵌入式控制系统国产化生产加工项目,北京亨达麦海科技发展有限公司
33,加速度计自动化测试系统及设备技术改造项目,北京永乐华航精密仪器仪表有限公司
34,架空输电线路越障巡检机器人研发及制造项目,北京嘉久互联科技有限责任公司
35,轨道交通车辆门智能控制系统项目,北京首康南海科贸有限公司
36,环保行业的协同设计系统开发项目,国环东方（北京）环保科技有限公司
37,中小企业技术检测综合服务平台服务体系提升项目,北京朗搏校准检测有限公司
38,定制式固定义齿生产项目,数齿（北京）医疗科技有限公司
39,护肤用、护发用化妆品制造项目,北京贝丽莱斯生物科技有限公司
40,水资源专用机械生产项目,洁源环能（北京）水处理技术有限公司
41,环境保护专用设备生产项目,北京科洁科技有限公司
42,美登高（北京）食品销售有限公司冷冻饮品实验厂房项目,美登高（北京）食品销售有限公司
43,尿素[13C]片呼气试验药盒全产业链拓展项目,北京海德润医药集团有限公司
44,新源彩能（北京）科技有限公司,新源彩能（北京）科技有限公司
45,全彩光伏功能材料及废旧光伏组件综合利用项目,新源彩能（北京）科技有限公司
46,肉制品车间改造及消防控制室建设项目,北京二商肉类食品集团有限公司
47,越动生活服务平台项目,北京运良宏盛汽车科技发展有限公司
48,高端氧疗产品线提质降本工艺改进项目,北京万生人和科技有限公司
49,确定性超高精度核心部件国产化智造项目,北京创思工贸有限公司
50,高纯度石英制品厂房及生产线节能减排改造项目,北京凯德石英股份有限公司
51,通州网安园网络安全领军人才培育基地项目,北京通州发展集团有限公司
52,定制式义齿生产项目,北京新雅医疗器械有限公司
53,华润赛科药业制剂厂库房及质检楼建设项目,华润赛科药业有限责任公司
54,电力成套行业数字化工厂节能改造项目,北京北元电力有限公司
55,全彩光伏功能材料及废旧光伏组件综合利用项目,新源彩能（北京）科技有限公司
56,研发楼二层新产线净化升级改造项目,北京凯德石英股份有限公司
57,康复辅具生产项目,北京鸿泰盛医疗设备有限公司
58,液压管件及辅件生产项目,北京泰洋工业有限公司
59,水资源专用机械生产项目,北京渤浪岛环保技术有限公司
60,配电开关控制设备生产项目,北京远睿通达机电设备有限公司
61,航空设备及航空器零件生产项目,北京斯诺维特科技有限公司
62,北京四环制药有限公司实验室项目,北京四环制药有限公司
63,全彩光伏功能材料及废旧光伏组件综合利用项目,新源彩能（北京）科技有限公司
64,电投工业互联网数据安全信息港一期,北京电投泰利数据科技发展有限公司
65,电投工业互联网数据安全信息港二期,北京电投泰利数据科技发展有限公司
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
