序号,行政区划,单位名称,统一社会信用代码,类型
1,北京经济技术开发区,SMC（中国）有限公司第一工厂,9111030260002492XA(01),
1,北京经济技术开发区,SMC（中国）有限公司第一工厂,9111030260002492XA(01),
1,北京经济技术开发区,SMC（中国）有限公司第二工厂,9111030260002492XA(02),
1,北京经济技术开发区,SMC（中国）有限公司第二工厂,9111030260002492XA(02),
19,北京经济技术开发区,天蓝碧海（北京）环保工程技术有限公司(林肯B区锅炉房),91110109055581279F(03),
19,北京经济技术开发区,北京昭衍生物技术有限公司（N35M1地块）,91110302MA01HEH15A(00),
19,北京经济技术开发区,北京生物制品研究所有限责任公司,91110302MA007H95X1(00),
33,北京经济技术开发区,舒泰神（北京）生物制药股份有限公司,911100007423131451(00),
15,北京经济技术开发区,北京四环生物制药有限公司,91110302101942400P(00),
15,北京经济技术开发区,北京新特电气有限公司,91110302580850166X(),
15,北京经济技术开发区,北京泰德制药股份有限公司,911103026000314683(01),
24,北京经济技术开发区,威讯联合半导体（北京）有限公司,911103026000911455(00),
24,北京经济技术开发区,北京百普赛斯生物科技股份有限公司,911103025604366893(00),
24,北京经济技术开发区,长鑫集电（北京）存储技术有限公司,91110302MA007QPT25(),
22,北京经济技术开发区,北京燕东微电子科技有限公司,91110302MA006F65XR(00),
22,北京经济技术开发区,比泽尔制冷技术（中国）有限公司,91110302769904535H(00),
22,北京经济技术开发区,博世力士乐（北京）液压有限公司,91110302600055056H(00),
30,北京经济技术开发区,采埃孚传动系统（北京）有限公司,91110302329587417K(00),
30,北京经济技术开发区,康宁显示科技（中国）有限公司,91110302797550236W(00),
35,北京经济技术开发区,长鑫集电（北京）存储技术有限公司,91110302MA007QPT25(),
8,北京经济技术开发区,北京亦庄环境科技集团有限公司经开污水处理厂,911103026750530638(05),
8,北京经济技术开发区,北京京东方光电科技有限公司,911103027493533932(00),
8,北京经济技术开发区,北京兴斐电子有限公司—第二工厂,91110302801148435G(02),
8,北京经济技术开发区,北京博大开拓热力有限公司（N5锅炉房）,91110302101182835B(05),
26,北京经济技术开发区,北京神州细胞生物技术集团股份公司,9111030266050567XF(),
26,北京经济技术开发区,康龙化成（北京）新药技术股份有限公司,9111030276350109XG(00),
5,北京经济技术开发区,北京亦庄三羊供热有限公司（三羊供热锅炉房）,91110115779534291R(00),
5,北京经济技术开发区,信维创科通信技术（北京）有限公司,91110302600091938T(00),
5,北京经济技术开发区,信维创科通信技术（北京）有限公司,91110302600091938T(00),
5,北京经济技术开发区,北京鼎泰鹏宇环保科技有限公司,911103026804519047(00),
14,北京经济技术开发区,北京奔驰汽车有限公司整车工厂（亦庄）,91110302600003205F(01),
14,北京经济技术开发区,北京奔驰汽车有限公司整车工厂（亦庄）,91110302600003205F(01),
14,北京经济技术开发区,北京利德曼生化股份有限公司,911100006000677198(00),
23,北京经济技术开发区,采埃孚传动系统（北京）有限公司,91110302329587417K(00),
23,北京经济技术开发区,和路雪（中国）有限公司,91110302600028875C(00),
23,北京经济技术开发区,北京生物制品研究所有限责任公司,91110302MA007H95X1(00),
6,北京经济技术开发区,威讯联合半导体（北京）有限公司,911103026000911455(00),
6,北京经济技术开发区,北京京东方光电科技有限公司,911103027493533932(00),
6,北京经济技术开发区,北京亦庄环境科技集团有限公司东区污水处理厂,911103026750530638(01),
6,北京经济技术开发区,利乐包装（北京）有限公司,91110302742602094J(00),
9,北京经济技术开发区,北京京东方光电科技有限公司,911103027493533932(00),
9,北京经济技术开发区,北京京东方创元科技有限公司,91110400MABYLGB57F(00),
9,北京经济技术开发区,北京博大开拓热力有限公司（一号热源厂）,91110302101182835B(07),
16,北京经济技术开发区,北京贵园热力有限公司,911103027447054762(00),
16,北京经济技术开发区,北京泰德制药股份有限公司一工厂,911103026000314683(02),
16,北京经济技术开发区,北京奔驰汽车有限公司（发动机和动力电池工厂）,91110302600003205F(02),
20,北京经济技术开发区,北京智飞绿竹生物制药有限公司（同济北路厂区）,91110302755250446W(02),
20,北京经济技术开发区,康宁显示科技（中国）有限公司,91110302797550236W(00),
20,北京经济技术开发区,北京鼎泰鹏宇环保科技有限公司,911103026804519047(00),
3,北京经济技术开发区,中芯国际集成电路制造（北京）有限公司,911103027404017237(00),
3,北京经济技术开发区,中芯国际集成电路制造（北京）有限公司,911103027404017237(00),
3,北京经济技术开发区,信维创科通信技术（北京）有限公司,91110302600091938T(00),
3,北京经济技术开发区,中芯北方集成电路制造（北京）有限公司,91110302071737747W(00),
10,北京经济技术开发区,北京京东方显示技术有限公司,911103026843513880(00),
10,北京经济技术开发区,北京京东方显示技术有限公司,911103026843513880(00),
10,北京经济技术开发区,北京博大开拓热力有限公司（七号热源厂）,91110302101182835B(08),
2,北京经济技术开发区,中芯北方集成电路制造（北京）有限公司,91110302071737747W(00),
2,北京经济技术开发区,中芯北方集成电路制造（北京）有限公司,91110302071737747W(00),
2,北京经济技术开发区,SMC（中国）有限公司第二工厂,9111030260002492XA(02),
2,北京经济技术开发区,SMC（中国）有限公司第二工厂,9111030260002492XA(02),
11,北京经济技术开发区,北京博大开拓热力有限公司（三号热源厂）,91110302101182835B(04),
11,北京经济技术开发区,北京兴斐电子有限公司—第一工厂,91110302801148435G(01),
11,北京经济技术开发区,北京兴斐电子有限公司—第一工厂,91110302801148435G(01),
25,北京经济技术开发区,广沣金源（北京）科技有限公司,9111010509487957XG(00),
25,北京经济技术开发区,北京碧水源博大水务科技有限公司,9111030257319333XG(00),
13,北京经济技术开发区,北京凯因科技股份有限公司（荣京东街厂区）,911103026787533566(01),
