ID,项目名称,项目代码,建设单位,项目地址,计划投资总额,投资额单位,投资额币种,建设单位统一社会信用代码,建设规模及内容,文件名称,文件类型,文号,发文日期
QXSP1501263,通州区萧太后河（环球影城段）改线工程,1.2012E+12,北控水务集团有限公司,北控水务集团有限公司,34249.1,万元,人民币,9111010568120063XT,,关于通州区萧太后河（环球影城段）改线工程实施方案的批复,区级,通发改 [2015] 336 号,8/7/2015 00:00:00
1086957,永定河山峡段综合提升工程,2.02307E+17,永定河流域投资有限公司,永定河流域投资有限公司,141877,万元,人民币,91110115MA01D5B02E,"本工程主要内容包括：
（1）土地腾退工程：包括过洪土地腾退 234h ㎡；
（2）河道清障工程：包括围墙、冲毁漫水涵桥、冲毁跌水、109#施工场地清理；
（3）河道疏浚工程：包括 45km 的河形整理、河槽淤积疏挖、淤积滩地清理，三向连通性设计；
（4）边坡防护工程：水边陡坡抛石防护 19km、滩边抛石防护26km、滩边浆砌石防护 9km；
（5）跌水改建工程：现状跌水结构全部拆除。",关于永定河山峡段综合提升工程部门联合审议意见的函,市级,京发改投资函[2023]43号,18/12/2023 00:00:00
1084913,房山区拒马河（市界~龙安大桥山区段）水毁修复工程,2.02308E+17,北京市房山区水务局,北京市房山区水务局,27145,万元,人民币,1.11101E+17,修复岸坡防护20.60公里，修复桥区护砌3.12公里，河道疏浚65.92万立方米,关于房山区拒马河（市界~龙安大桥山区段）水毁修复工程实施方案的批复,区级,京房山发改（审）[2023]104号,13/9/2023 09:43:32
1064552,房山区平原南部输水干线工程,2.02108E+17,北京市房山区水务局,北京市房山区水务局,18221.4,万元,人民币,1.11101E+17,本工程沿京港澳高速及107 国道由窦店镇石夏路至琉璃河镇规划琉璃河镇中心区东区水厂铺设输水管线，将南水北调良乡水厂出水输送至琉璃河镇中心区东区水厂，输水干线总长7.33km，管径DN1000mm。,关于房山区平原南部输水干线工程项目建议书延期的批复,市级,京发改（审）[2022]318号,1/8/2022 00:00:00
1087785,密云区水文监测设施功能提升项目,2.02315E+17,北京市密云区水务局,北京市密云区水务局,2370.47,万元,人民币,11110228000107959W,重点区域雨量站加密30处、新建区级河流及水库出入库关键节点水文监测设施7处、一般水文站监测能力提升1站、驻测站监测能力提升4处、应急监测能力提升设备1套、山洪沟道监测全覆盖50处监测设施等。,关于密云区水文监测设施功能提升项目项目建议书（代可研）的批复,区级,京密云发改（审）[2023]78号,8/12/2023 18:55:00
QXSP1500864,海淀区南沙河（上庄闸-区界）清淤治理工程,8.01202E+11,北京市海淀区水务局,北京市海淀区水务局,15606.1,万元,人民币,1111010800005827XC,主要为河道清淤5.52公里,关于海淀区南沙河（上庄闸-区界）清淤治理工程实施方案的批复,区级,海发改〔2015〕247号,11/5/2015 00:00:00
1090527,怀柔区供水设施更新改造工程,2.02414E+17,北京市怀柔区水务局,北京市怀柔区水务局,60000,万元,人民币,11110227000097949G,对宝山镇、喇叭沟门乡、雁栖镇、长哨营乡、怀柔镇、汤河口镇、杨宋镇、北房镇、琉璃庙镇、怀北镇、渤海镇、桥梓镇、九渡河镇、泉河街道、两河联合水厂共计92个村1个集中供水厂进行供水设施更新改造,关于怀柔区供水设施更新改造工程项目建议书（代可研）的批复,区级,京怀柔发改（审）[2024]42号,17/5/2024 22:14:05
1087661,涧沟村沟道治理工程,2.02307E+17,北京市门头沟区妙峰山镇人民政府,北京市门头沟区妙峰山镇人民政府,2804,万元,人民币,1.11101E+17,沟道疏浚、清理2.8km，原有挡墙、护脚修复，新建挡墙、改建桥梁、改建方涵、改建排水沟等,关于涧沟村沟道治理工程实施方案的批复,区级,京门头沟发改（审）[2023]146号,7/12/2023 08:24:24
1087339,昌平区“23.7”特大暴雨后水库大坝安全检测项目,2.02312E+17,北京市昌平区水务局,北京市昌平区水务局,549.51,万元,人民币,11110221000102859X,受“23.7”强降雨影响，昌平区内水利工程出现不同程度的损毁，对王家元水库、响潭水库、居庸关水库、南沟水库、德胜口水库5座水库造成不同程度的冲击，水库大坝安全性不可预测。我单位计划实施昌平区“23.7”特大暴雨后水库大坝安全检测项目，对5座水库进行安全鉴定、安全检查及监测，并对大坝工程质量进行评价等。,关于昌平区“23.7”特大暴雨后水库大坝安全检测项目项目建议书的批复,区级,京昌平发改（审）[2023]200号,6/12/2023 18:26:25
QXSP1501109,海淀区军福沟、南河滩沟排蓄工程,8.01202E+11,北京市海淀区四季青镇人民政府,北京市海淀区四季青镇人民政府,4552.26,万元,人民币,11110108000058456E,调减南河滩沟相关建设内容，调整后建设内容为：军福沟治理长度2255m，其中主沟长1655m，支渠长600m；改建桥梁5座，改建暗涵1处，改建雨水口7座；新建桥梁1座，新建陡坡1座，新建暗涵1座，长93m；铺设截污管线1667m，河道边坡绿化6176.84平方米，岸顶种植槐树484株。五环路东侧雨洪利用工程新建雨洪利用设施3处；新建进水口，出水口各3处；新建渗水井23处。,"关于海淀区军福沟、南河滩沟排蓄工程实施方案调整的批复
",区级,京海淀发改（审）[2015]19号,31/12/2015 00:00:00
1084286,宋庄蓄滞洪区一期、二期连通综合提升工程,2.02309E+17,通州区园林绿化局,通州区园林绿化局,2424.29,万元,人民币,11110112000083037L,建设内容及规模：围堤加固总长约1.30km；新疏挖一期、二期连通工程15.09万m3；退水渠整修0.05万m3；新疏挖小中河连通工程6.84万m3；小中河退水渠清淤0.11万m3。新建溢流堰2座；过路涵管2处，穿堤涵管1处；碎石路拆除恢复648.9m2，沥青路拆除1045.03m2，恢复2898.60m2；步道砖拆除108.68m2，恢复718.91m2；景观绿化7.32hm2；导流工程1项等。,关于宋庄蓄滞洪区一期、二期连通综合提升工程项目建议书（代可研）的批复,区级,京通州发改（审）[2023]53号,2/8/2023 19:27:42
1087364,北沙河朝宗桥分洪工程,2.02312E+17,北京市昌平区水务局,北京市昌平区水务局,86883.4,万元,人民币,11110221000102859X,治理规划分洪河道2公里。保护明朝的文物朝宗桥。,关于北沙河朝宗桥分洪工程项目建议书的批复,区级,京昌平发改（审）[2023]218号,6/12/2023 20:38:51
QXSP1501116,海淀区稻香湖再生水厂调水泵站工程,8.01202E+11,海淀区水务局,海淀区水务局,2197.2,万元,人民币,1111010800005827XC,项目总占地面积2452平方米主要建构筑物为调水泵站及其附属用房，包括地上建筑面积541.78平方米，地下建筑面积105.10平方米，地下构筑物占地面积227.98平方米。具体包含建筑工程、工艺设备及管道工程、电气工程、仪表工程、自控系统工程及室内外配套工程等内容。其中新建调水泵站包括格栅间及提升泵房两部分，格栅间按规模安装2台格栅，达到设计规模时为2台同时运行；污水提升泵房水泵安装5台，4用1备；,关于海淀区稻香湖再生水厂调水泵站工程项目建议书（代可行性研究报告）的批复,区级,海发改〔2015〕306号,12/6/2015 00:00:00
1081114,中关村顺义园新建中水管线工程（二期）,2.0231E+17,北京市顺义区水务局,北京市顺义区水务局,4706.25,万元,人民币,11110110000092937B,新建地下式增压泵站1座，规模2万m3/d；新建再生水管线5153.4米，其中主管长4611.7 米，支管长541.7米，穿越暗涵处及穿越顺于路处均采用顶管施工，长度94米，共设置顶进坑2座，接收坑2座；同步实施道路、绿地破除及恢复、通信电力线缆保护等工程。,关于中关村顺义园新建中水管线工程（二期）项目建议书（代可研）的批复,区级,京顺义发改（审）[2023]15号,3/2/2023 17:03:19
